,country,children_per_woman_total_fertility,child_mortality_0_5_year_olds_dying_per_1000_born,co2_emissions_tonnes_per_person,corruption_perception_index_cpi,life_expectancy_years,vccin_effect_dag,children_per_woman_total_fertility_imp,corruption_perception_index_cpi_imp,vccin_effect_dag_imp
36,Ecuador,2.51,15.1,2.63,32.0,76.6,0.021,2.51,32.0,0.021
5,Australia,1.879353173104777,3.87,16.8,79.0,82.5,0.043,2.59,79.0,0.043
86,Montenegro,1.8809982475695057,3.46,3.57,44.0,76.4,0.09110178044804487,2.0,44.0,0.046
2,Algeria,2.590534653763333,24.9,3.8,36.0,77.1,0.078,2.06,36.0,0.078
6,Austria,1.49,3.71,7.7,76.0,81.5,0.11800000000000001,1.49,76.0,0.11800000000000001
45,Gambia,5.49,64.7,0.251,28.0,65.1,0.07501612819235408,5.49,28.0,0.071
136,Uzbekistan,2.31,25.9,3.31,19.0,69.9,0.09575218865879312,2.31,19.0,0.126
87,Morocco,2.53,25.5,1.76,36.0,73.5,0.052000000000000005,2.53,36.0,0.052000000000000005
42,Finland,1.7187542279490793,2.2,8.06,90.0,81.6,0.035,1.96,90.0,0.035
4,Armenia,2.111137259022496,14.4,1.65,35.0,75.3,0.139,1.46,35.0,0.139
138,Zambia,5.04,64.6,0.271,38.0,62.0,0.07981483084309375,5.04,38.0,0.156
110,Saudi Arabia,2.58,8.54,19.6,52.0,76.2,0.024,2.58,52.0,0.024
111,Senegal,3.4001341707607207,50.1,0.695,44.0,67.5,0.09876319850965498,1.53,44.0,0.084
64,Jordan,3.45,17.7,2.75,53.0,79.1,0.0762101566800059,3.45,53.0,0.084
96,Nigeria,5.59,125.0,0.627,26.0,63.4,0.113,5.59,26.0,0.113
117,South Africa,2.49,37.7,8.35,44.0,63.4,0.099,2.49,44.0,0.099
115,Slovak Republic,1.43,6.06,6.35,51.0,76.7,0.09122310014723103,1.43,51.0,0.013000000000000001
16,Bulgaria,1.55,8.18,6.69,41.0,74.8,0.071,1.55,41.0,0.071
93,New Zealand,2.01,5.97,7.77,91.0,81.5,0.07636960934324777,2.01,91.0,0.11800000000000001
112,Serbia,1.8402821785481722,6.28,4.93,40.0,75.1,0.141,1.46,40.0,0.141
7,Azerbaijan,2.09,26.3,3.86,29.0,70.5,0.133,2.09,29.0,0.133
122,Switzerland,1.54,4.32,4.67,86.0,83.5,0.08077805187309418,1.54,86.0,0.042
109,Rwanda,3.97,41.3,0.0816,54.0,67.7,0.08266124912627504,3.97,54.0,0.024
46,Georgia,2.0,10.5,2.38,52.0,73.0,0.09337576143418383,2.0,52.0,0.013000000000000001
100,Panama,2.54,16.9,2.74,39.0,78.9,0.051,2.54,39.0,0.051
135,Uruguay,2.01,8.85,1.94,74.0,77.0,0.08708339693464688,2.01,74.0,0.046
131,Ukraine,1.53,9.5,4.99,27.0,69.2,0.154,1.53,27.0,0.154
82,Mauritius,1.44,14.3,3.35,53.0,74.5,0.09423041963770537,1.44,53.0,0.066
103,Peru,2.43,16.1,1.69,36.0,80.0,0.08,2.43,36.0,0.08
70,Latvia,1.53,4.97,3.65,56.0,74.9,0.14300000000000002,1.53,56.0,0.14300000000000002
31,Croatia,1.47,4.88,4.22,51.0,77.6,0.09186043791525793,1.47,51.0,0.08
59,Iraq,4.43,29.5,4.66,16.0,76.3,0.0,4.43,16.0,0.0
54,Hungary,1.36,5.14,4.78,51.0,75.5,0.09421351195331144,1.36,51.0,0.114
126,Togo,4.52,76.8,0.369,32.0,62.8,0.08149067124470818,4.52,32.0,0.057999999999999996
83,Mexico,2.22,14.8,3.96,31.0,75.9,0.14,2.22,31.0,0.14
108,Russia,1.9443018461167074,8.53,11.2,29.0,71.3,0.184,1.31,29.0,0.184
14,Botswana,2.991668067077918,40.7,2.56,63.0,66.9,0.09211969252526672,2.23,63.0,0.10300000000000001
37,Egypt,3.31,23.6,2.37,36.0,70.2,0.08762510547903977,3.31,36.0,0.26
51,Guinea,4.93,107.0,0.215,25.0,59.2,0.07911892176892596,4.93,25.0,0.08
63,Japan,1.44,3.02,9.58,75.0,84.1,0.099,1.44,75.0,0.099
35,Dominican Republic,2.45,31.3,2.29,33.0,72.8,0.09016899856829239,2.45,33.0,0.084
97,North Macedonia,1.52,12.3,3.41,42.0,76.5,0.114,1.52,42.0,0.114
10,Belgium,1.8083301367820788,3.99,8.84,77.0,80.9,0.051,1.35,77.0,0.051
38,El Salvador,2.1,15.3,1.07,39.0,72.1,0.09560319164145684,2.1,39.0,0.024
85,Mongolia,2.4319667350835426,18.6,7.76,39.0,68.6,0.066,1.5,39.0,0.066
66,Kenya,3.92,46.3,0.341,25.0,64.7,0.08879886933723903,3.92,25.0,0.042
65,Kazakhstan,2.3294324300758342,11.9,15.0,28.0,71.7,0.08426678732282397,2.54,28.0,0.051
137,Vietnam,1.96,21.8,1.95,31.0,74.3,0.046,1.96,31.0,0.046
80,Malta,1.44,6.99,3.96,60.0,81.2,0.08723892905835079,1.44,60.0,0.154
124,Tanzania,5.08,59.1,0.244,30.0,65.6,0.07779278171019603,5.08,30.0,0.16399999999999998
24,China,2.04475389791292,10.7,6.91,37.0,76.5,0.126,1.35,37.0,0.126
18,Burundi,5.78,67.0,0.0386,21.0,60.8,0.07808247841230131,5.78,21.0,0.08
17,Burkina Faso,5.44,86.8,0.182,38.0,60.7,0.07539697036272758,5.44,38.0,0.013000000000000001
81,Mauritania,4.503118892722504,83.5,0.609,31.0,69.9,0.08703330442596771,2.49,31.0,0.133
30,Cote d'Ivoire,4.97,90.0,0.405,32.0,61.0,0.07839546995757776,4.97,32.0,0.043
139,Zimbabwe,3.84,54.3,0.8809999999999999,21.0,59.6,0.0933751339182548,3.84,21.0,0.105
47,Germany,1.45,3.86,9.74,81.0,80.7,0.08,1.45,81.0,0.08
69,Lao,3.6411351219179684,53.6,1.31,25.0,66.6,0.0811392393100012,4.52,25.0,0.059000000000000004
84,Moldova,1.25,16.3,1.18,33.0,71.8,0.10213209044160719,1.25,33.0,0.021
